pl_name,hostname,st_mass,pl_bmassj,pl_massj,pl_orbsmax,pl_orbeccen,sy_snum,sy_pnum,pl_orbper,planet_mass_jup,planet_solar_mass,star_solar_mass,ecc,sma
HD 33142 c,HD 33142,1.52,0.89,,1.955,0.081,1,3,810.2,0.89,0.00084995,1.52,0.081,1.955
GJ 3323 c,GJ 3323,0.164,0.00726804,,0.1264,0.17,1,2,40.54,0.00726804,6.9409782e-06,0.164,0.17,0.1264
HD 183263 c,HD 183263,1.06,9.31,9.31,5.585,0.051,1,2,4667.97841,9.31,0.008891050000000001,1.06,0.051,5.585
HD 108202 b,HD 108202,0.74,3.0,3.0,3.7,0.52,1,1,2990.0,3.0,0.002865,0.74,0.52,3.7
Kepler-1693 b,Kepler-1693,0.95,0.00695,,0.1011,0.0,1,2,12.0999,0.00695,6.63725e-06,0.95,0.0,0.1011
Kepler-1114 b,Kepler-1114,0.87,0.00752,,0.11056,0.0,1,1,14.97435694,0.00752,7.1816e-06,0.87,0.0,0.11056
Kepler-122 c,Kepler-122,0.982,0.0912,,0.108,0.0,1,5,12.465988,0.0912,8.709600000000001e-05,0.982,0.0,0.108
Kepler-124 d,Kepler-124,0.706,0.00444,,0.17,0.0,1,3,30.950851,0.00444,4.2402000000000005e-06,0.706,0.0,0.17
WASP-47 c,WASP-47,1.058,1.40641928,1.40641928208765,1.393,0.264,1,4,589.57,1.40641928,0.0013431304123999999,1.058,0.264,1.393
alf Tau b,alf Tau,1.13,6.47,,1.46,0.1,2,1,628.96,6.47,0.00617885,1.13,0.1,1.46
HD 87646 b,HD 87646,1.12,12.4,,0.117,0.05,3,1,13.481,12.4,0.011842,1.12,0.05,0.117
GJ 625 b,GJ 625,0.3,0.00887267,,0.078361,0.13,1,1,14.628,0.00887267,8.47339985e-06,0.3,0.13,0.078361
Wolf 1061 c,Wolf 1061,0.294,0.01072901,,0.089,0.11,1,3,17.8719,0.01072901,1.024620455e-05,0.294,0.11,0.089
HD 105779 b,HD 105779,0.89,0.64,,3.38,0.0,1,1,2412.0,0.64,0.0006112,0.89,0.0,3.38
Kepler-1313 b,Kepler-1313,0.92,0.0118,,0.04619,0.0,1,1,3.833091178,0.0118,1.1269e-05,0.92,0.0,0.04619
Kepler-1288 b,Kepler-1288,1.2,0.00459,,0.04135,0.0,1,1,2.76122421,0.00459,4.38345e-06,1.2,0.0,0.04135
Kepler-129 b,Kepler-129,1.178,0.06292704,,0.13,0.01,1,3,15.79,0.06292704,6.009532320000001e-05,1.178,0.01,0.13
GJ 9714 b,GJ 9714,0.67,9.403,9.403,12.319,0.155,1,1,19240.75467,9.403,0.008979865,0.67,0.155,12.319
HD 156279 b,HD 156279,0.94,9.432,,0.502,0.647,1,2,133.40355,9.432,0.009007560000000001,0.94,0.647,0.502
HD 156279 c,HD 156279,0.94,9.75,9.75,5.486,0.261,1,2,4818.25358,9.75,0.00931125,0.94,0.261,5.486
HD 31527 d,HD 31527,0.96,0.0372,,0.8098,0.24,1,3,271.6737,0.0372,3.5526e-05,0.96,0.24,0.8098
XO-2 S c,XO-2 S,0.982,1.37,,0.4756,0.1528,2,3,120.8,1.37,0.0013083500000000002,0.982,0.1528,0.4756
BD+03 2562 b,BD+03 2562,1.14,6.4,,1.3,0.2,1,1,481.9,6.4,0.006112,1.14,0.2,1.3
GJ 682 b,GJ 682,0.27,0.01384388,,0.08,0.08,1,2,17.478,0.01384388,1.32209054e-05,0.27,0.08,0.08
TOI-1823 b,TOI-1823,0.8414,0.21206412,0.21206411546467,0.212,0.0,1,1,38.8,0.21206412,0.00020252123459999998,0.8414,0.0,0.212
K2-18 c,K2-18,0.359,0.02362898,,0.06,0.47,1,2,8.962,0.02362898,2.2565675900000003e-05,0.359,0.47,0.06
TOI-1472 b,TOI-1472,0.9154,0.05191481,0.0519148057146446,0.065,0.0,1,1,6.36381,0.05191481,4.957864355e-05,0.9154,0.0,0.065
TOI-2368 b,TOI-2368,0.897,0.65,0.65,0.05649,0.061,1,1,5.1750073,0.65,0.00062075,0.897,0.061,0.05649
HD 77946 b,HD 77946,1.1973,0.03429524,0.0342952352902804,0.073,0.211,1,1,6.527363,0.03429524,3.27519542e-05,1.1973,0.211,0.073
WASP-149 b,WASP-149,1.05,0.991,0.991,0.024,0.0,1,1,1.332813,0.991,0.000946405,1.05,0.0,0.024
TOI-1775 b,TOI-1775,0.9218,0.30204978,0.302049778703387,0.08,0.0,1,1,10.2405549,0.30204978,0.00028845753989999997,0.9218,0.0,0.08
HD 147873 c,HD 147873,1.38,2.3,,1.36,0.23,2,2,491.54,2.3,0.0021964999999999997,1.38,0.23,1.36
BD+20 2457 b,BD+20 2457,2.8,21.42,,1.45,0.15,1,2,379.63,21.42,0.0204561,2.8,0.15,1.45
HD 117207 b,HD 117207,1.053,2.106,2.106,3.787,0.157,1,1,2621.75,2.106,0.0020112299999999997,1.053,0.157,3.787
HD 215152 e,HD 215152,0.77,0.00905201,,0.15417,0.0,1,4,25.1967,0.00905201,8.64466955e-06,0.77,0.0,0.15417
CoRoT-2 b,CoRoT-2,0.96,3.47,3.47,0.02798,0.0143,2,1,1.7429935,3.47,0.00331385,0.96,0.0143,0.02798
